,Player,Salary
421,,"$1,752,638"
422,,"$1,639,842"
423,,"$1,637,966"
424,,"$1,637,966"
425,,"$1,575,000"
426,,"$1,563,518"
427,,"$1,563,518"
428,,"$1,563,518"
429,,"$1,563,518"
430,,"$1,563,518"
431,,"$1,563,518"
432,,"$1,563,518"
433,,"$1,563,518"
434,,"$1,563,518"
435,,"$1,563,518"
436,,"$1,563,518"
437,,"$1,563,518"
438,,"$1,563,518"
439,,"$1,563,518"
440,,"$1,563,518"
441,,"$1,563,518"
442,,"$1,563,518"
443,,"$1,563,518"
444,,"$1,500,000"
445,,"$1,300,000"
446,,"$1,200,000"
447,,"$1,160,955"
448,,"$1,068,200"
449,,"$1,017,781"
450,,"$1,017,781"
451,,"$1,017,781"
452,,"$1,017,781"
453,,"$1,017,781"
454,,"$1,017,781"
455,,"$999,200"
456,,"$838,891"
457,,"$825,000"
458,,"$806,097"
459,,"$702,311"
460,,"$633,891"
461,,"$576,230"
462,,"$566,085"
463,,"$555,217"
464,,"$508,891"
465,,"$508,891"
466,,"$508,891"
467,,"$508,891"
468,,"$508,891"
469,,"$508,891"
470,,"$508,891"
471,,"$508,891"
472,,"$508,891"
473,,"$508,891"
474,,"$508,891"
475,,"$508,891"
476,,"$508,891"
477,,"$508,891"
478,,"$508,891"
479,,"$508,891"
480,,"$508,891"
481,,"$508,891"
482,,"$508,891"
483,,"$508,891"
484,,"$508,891"
485,,"$508,891"
486,,"$508,891"
487,,"$508,891"
488,,"$508,891"
489,,"$508,891"
490,,"$508,891"
491,,"$508,891"
492,,"$508,891"
493,,"$508,891"
494,,"$508,891"
495,,"$508,891"
496,,"$508,891"
497,,"$508,891"
498,,"$508,891"
499,,"$508,891"
500,,"$508,891"
501,,"$508,891"
502,,"$508,891"
503,,"$508,891"
504,,"$508,891"
505,,"$503,041"
506,,"$502,080"
507,,"$502,080"
508,,"$500,000"
509,,"$464,299"
510,,"$386,055"
511,,"$386,055"
512,,"$374,357"
513,,"$371,432"
514,,"$336,336"
515,,"$333,333"
516,,"$307,089"
517,,"$307,089"
518,,"$300,000"
519,,"$268,032"
520,,"$260,295"
521,,"$254,446"
522,,"$250,000"
523,,"$245,204"
524,,"$239,822"
525,,"$201,802"
526,,"$201,802"
527,,"$193,027"
528,,"$192,293"
529,,"$172,555"
530,,"$169,630"
531,,"$150,000"
532,,"$131,610"
533,,"$122,741"
534,,"$109,318"
535,,"$106,288"
536,,"$105,522"
537,,"$96,514"
538,,"$92,857"
539,,"$90,665"
540,,"$50,000"
541,,"$50,000"
542,,"$50,000"
543,PLAYER,
544,Stephen Curry,
545,John Wall,
546,Russell Westbrook,
547,LeBron James,
548,Kevin Durant,
549,Bradley Beal,
550,Paul George,
551,Kawhi Leonard,
552,Giannis Antetokounmpo,
553,Damian Lillard,
554,Klay Thompson,
555,Rudy Gobert,
556,Khris Middleton,
557,Anthony Davis,
558,Jimmy Butler,
559,Tobias Harris,
560,Kemba Walker,
561,Trae Young,
562,Zach LaVine,
563,Luka Doncic,
564,Kyrie Irving,
565,Ben Simmons,
566,Pascal Siakam,
567,Myles Turner,
568,Karl-Anthony Towns,
569,Devin Booker,
570,Kristaps Porzingis,
571,Jrue Holiday,
572,Joel Embiid,
573,Andrew Wiggins,
574,CJ McCollum,
575,Nikola Jokic,
576,James Harden,
577,Jamal Murray,
578,Brandon Ingram,
579,D'Angelo Russell,
580,Michael Porter,
581,Shai Gilgeous-Alexander,
582,Donovan Mitchell,
583,Deandre Ayton,
584,Jayson Tatum,
585,Bam Adebayo,
586,De'Aaron Fox,
587,Gordon Hayward,
588,Jaren Jackson Jr,
589,Kevin Love,
590,Jaylen Brown,
591,Chris Paul,
592,Kyle Lowry,
593,Jalen Brunson,
594,DeMar DeRozan,
595,Al Horford,
596,Draymond Green,
597,Julius Randle,
598,John Collins,
599,Mike Conley,
600,Malcolm Brogdon,
601,Anfernee Simons,
602,Nikola Vucevic,
603,Terry Rozier,
604,Fred VanVleet,
605,Buddy Hield,
606,Jerami Grant,
607,Spencer Dinwiddie,
608,Mikal Bridges,
609,Jarrett Allen,
610,Nicolas Batum,
611,Aaron Gordon,
612,Tim Hardaway Jr,
613,Eric Gordon,
614,Bojan Bogdanovic,
615,Lonzo Ball,
616,Danilo Gallinari,
617,Caris LeVert,
618,Clint Capela,
619,Joe Harris,
620,Domantas Sabonis,
621,Harrison Barnes,
622,Evan Fournier,
623,Bogdan Bogdanovic,
624,Steven Adams,
625,Gary Trent Jr,
626,Jonathan Isaac,
627,OG Anunoby,
628,Marcus Smart,
629,Mitchell Robinson,
630,Duncan Robinson,
631,Derrick White,
632,Norman Powell,
633,Dejounte Murray,
634,Collin Sexton,
635,Markelle Fultz,
636,Lauri Markkanen,
637,Marcus Morris,
638,Davis Bertans,
639,Jusuf Nurkic,
640,Malik Beasley,
641,Luguentz Dort,
642,Tyus Jones,
643,Jonas Valanciunas,
644,Derrick Rose,
645,Kevin Huerter,
646,Will Barton,
647,Christian Wood,
648,Wendell Carter,
649,Kentavious Caldwell-Pope,
650,Brook Lopez,
651,Doug McDermott,
652,Luke Kennard,
653,Zion Williamson,
654,Jordan Clarkson,
655,Gary Harris,
656,Kyle Kuzma,
657,Patrick Beverley,
658,Josh Hart,
659,Kelly Olynyk,
660,Chris Boucher,
661,Kelly Oubre,
662,Marvin Bagley,
663,Dorian Finney-Smith,
664,Robert Covington,
665,Josh Richardson,
666,Ja Morant,
667,Devonte Graham,
668,Terrence Ross,
669,Dillon Brooks,
670,Richaun Holmes,
671,Reggie Jackson,
672,Dwight Powell,
673,Paolo Banchero,
674,Robert Williams,
675,RJ Barrett,
676,Bobby Portis,
677,DeAndre Jordan,
678,Anthony Edwards,
679,Cade Cunningham,
680,PJ Tucker,
681,Derrick Favors,
682,Mo Bamba,
683,Talen Horton-Tucker,
684,Jae Crowder,
685,Ivica Zubac,
686,Reggie Bullock,
687,Alec Burks,
688,Danny Green,
689,Chet Holmgren,
690,De'Andre Hunter,
691,Larry Nance Jr,
692,James Wiseman,
693,Landry Shamet,
694,Malik Monk,
695,Jalen Green,
696,Jakob Poeltl,
697,Nerlens Noel,
698,Dario Saric,
699,Royce O'Neale,
700,Monte Morris,
701,Mason Plumlee,
702,Alex Caruso,
703,Maxi Kleber,
704,Darius Garland,
705,Jabari Smith,
706,Kyle Anderson,
707,Victor Oladipo,
708,Daniel Theis,
709,LaMelo Ball,
710,Nicolas Claxton,
711,Grayson Allen,
712,Seth Curry,
713,Evan Mobley,
714,Gary Payton II,
715,De'Anthony Melton,
716,JaMychal Green,
717,TJ McConnell,
718,Keegan Murray,
719,Kevon Looney,
720,Thaddeus Young,
721,Isaiah Hartenstein,
722,Delon Wright,
723,Patrick Williams,
724,Scottie Barnes,
725,Dewayne Dedmon,
726,Cedi Osman,
727,Coby White,
728,Zach Collins,
729,Taurean Prince,
730,Jaden Ivey,
731,Jae'Sean Tate,
732,Isaac Okoro,
733,Cody Martin,
734,Jalen Suggs,
735,Jaxson Hayes,
736,Khem Birch,
737,Bennedict Mathurin,
738,Patrick Mills,
739,Bruce Brown,
740,Caleb Martin,
741,Lonnie Walker,
742,Joe Ingles,
743,Onyeka Okongwu,
744,Justin Holiday,
745,Josh Giddey,
746,Rui Hachimura,
747,Rudy Gay,
748,Jevon Carter,
749,Shaedon Sharpe,
750,Cameron Payne,
751,Otto Porter,
752,Cam Reddish,
753,Cameron Johnson,
754,Ricky Rubio,
755,Killian Hayes,
756,PJ Washington,
757,Jonathan Kuminga,
758,Pat Connaughton,
759,Tyler Herro,
760,Romeo Langford,
761,Dyson Daniels,
762,JaVale McGee,
763,Obi Toppin,
764,Franz Wagner,
765,Kendrick Nunn,
766,Hamidou Diallo,
767,Cory Joseph,
768,Garrett Temple,
769,Torrey Craig,
770,Jeremy Sochan,
771,David Nwaba,
772,Nickeil Alexander-Walker,
773,Furkan Korkmaz,
774,Deni Avdija,
775,Davion Mitchell,
776,Johnny Davis,
777,Goga Bitadze,
